threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.0,133,136,4,7,0.9602888086642599,0.9347826242446899,0.9602888226509094,0.9819494485855103,0.95,0.9071428775787354,0.9857142567634583,0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,103,136,4,37,0.8340080971659919,0.7796609997749329,0.8340080976486206,0.8818897604942322,0.7357142857142858,0.6642857193946838,0.8071428537368774,30,0.21428571428571427,0.15000000596046448,0.2857142984867096,0.12628071149826803,0.08360454011708499,0.17338217794895172
0.02,102,136,4,38,0.8292682926829268,0.7744680643081665,0.8292682766914368,0.8774703741073608,0.7285714285714285,0.6571428775787354,0.800000011920929,31,0.22142857142857142,0.15714286267757416,0.2928571403026581,0.13102051598133313,0.08802951872348785,0.1800202876329422
0.03,100,136,4,40,0.819672131147541,0.7627118825912476,0.8196721076965332,0.8695651888847351,0.7142857142857143,0.6357142925262451,0.7857142686843872,33,0.2357142857142857,0.16428571939468384,0.30714285373687744,0.1406166775167189,0.09561034124344588,0.19076941907405853
0.04,100,136,4,40,0.819672131147541,0.7627118825912476,0.8196721076965332,0.8695651888847351,0.7142857142857143,0.6357142925262451,0.7857142686843872,33,0.2357142857142857,0.16428571939468384,0.30714285373687744,0.1406166775167189,0.09561034124344588,0.19076941907405853
0.05,100,136,4,40,0.819672131147541,0.7627118825912476,0.8196721076965332,0.8695651888847351,0.7142857142857143,0.6357142925262451,0.7857142686843872,33,0.2357142857142857,0.16428571939468384,0.30714285373687744,0.1406166775167189,0.09561034124344588,0.19076941907405853
0.06,100,136,4,40,0.819672131147541,0.7627118825912476,0.8196721076965332,0.8695651888847351,0.7142857142857143,0.6357142925262451,0.7857142686843872,33,0.2357142857142857,0.16428571939468384,0.30714285373687744,0.1406166775167189,0.09561034124344588,0.19076941907405853
0.07,100,136,4,40,0.819672131147541,0.7627118825912476,0.8196721076965332,0.8695651888847351,0.7142857142857143,0.6357142925262451,0.7857142686843872,33,0.2357142857142857,0.16428571939468384,0.30714285373687744,0.1406166775167189,0.09561034124344588,0.19076941907405853
0.08,99,136,4,41,0.8148148148148148,0.757446825504303,0.8148148059844971,0.8661417365074158,0.7071428571428572,0.6285714507102966,0.7857142686843872,34,0.24285714285714285,0.17142857611179352,0.3142857253551483,0.14547399384944515,0.09940396025776863,0.1961507648229599
0.09,99,136,4,41,0.8148148148148148,0.757446825504303,0.8148148059844971,0.8661417365074158,0.7071428571428572,0.6285714507102966,0.7857142686843872,34,0.24285714285714285,0.17142857611179352,0.3142857253551483,0.14547399384944515,0.09940396025776863,0.1961507648229599
