scope,role,head_authority,method,metric,outcome,mean,n
evaluation,Q→Q,R003 Query Top5,L20H15,pointing,correct,0.9688995215311005,418
evaluation,Q→Q,R003 Query Top5,L20H15,pointing,error,0.08943089430894309,123
evaluation,Q→Q,R003 Query Top5,L20H15,s50_fiou,correct,0.23301549187134551,418
evaluation,Q→Q,R003 Query Top5,L20H15,s50_fiou,error,0.008773073396997637,123
evaluation,Q→Q,R003 Query Top5,L20H15,s30_iou,correct,0.2838641961873699,418
evaluation,Q→Q,R003 Query Top5,L20H15,s30_iou,error,0.07983472850953935,123
evaluation,Q→Q,R003 Query Top5,L20H15,largest4n_iou,correct,0.4009679905380043,418
evaluation,Q→Q,R003 Query Top5,L20H15,largest4n_iou,error,0.08760153427732506,123
evaluation,Q→Q,R003 Query Top5,L24H16,pointing,correct,0.9473684210526315,418
evaluation,Q→Q,R003 Query Top5,L24H16,pointing,error,0.11382113821138211,123
evaluation,Q→Q,R003 Query Top5,L24H16,s50_fiou,correct,0.1287476780286717,418
evaluation,Q→Q,R003 Query Top5,L24H16,s50_fiou,error,0.004154859143421801,123
evaluation,Q→Q,R003 Query Top5,L24H16,s30_iou,correct,0.2516718603249393,418
evaluation,Q→Q,R003 Query Top5,L24H16,s30_iou,error,0.04055507231074359,123
evaluation,Q→Q,R003 Query Top5,L24H16,largest4n_iou,correct,0.39039910158912144,418
evaluation,Q→Q,R003 Query Top5,L24H16,largest4n_iou,error,0.04672178398638382,123
evaluation,Q→Q,R003 Query Top5,L25H10,pointing,correct,0.9569377990430622,418
evaluation,Q→Q,R003 Query Top5,L25H10,pointing,error,0.08130081300813008,123
evaluation,Q→Q,R003 Query Top5,L25H10,s50_fiou,correct,0.12491699067024628,418
evaluation,Q→Q,R003 Query Top5,L25H10,s50_fiou,error,0.0047808094813440736,123
evaluation,Q→Q,R003 Query Top5,L25H10,s30_iou,correct,0.22008124484060018,418
evaluation,Q→Q,R003 Query Top5,L25H10,s30_iou,error,0.0382428284839908,123
evaluation,Q→Q,R003 Query Top5,L25H10,largest4n_iou,correct,0.33872289066555555,418
